customer_id,name,email,phone,company,industry,date_added,loyalty_score
1,Customer 1,customer1@email.com,123-456-1001,,Finance,2020-01-02,12
2,Customer 2,customer2@email.com,123-456-1002,,Healthcare,2020-01-03,23
3,Customer 3,customer3@email.com,123-456-1003,Company 3,Retail,2020-01-04,63
4,Customer 4,customer4@email.com,123-456-1004,,Education,2020-01-05,12
5,Customer 5,customer5@email.com,123-456-1005,,Technology,2020-01-06,8
6,Customer 6,customer6@email.com,123-456-1006,Company 6,Finance,2020-01-07,62
7,Customer 7,customer7@email.com,123-456-1007,,Healthcare,2020-01-08,14
8,Customer 8,customer8@email.com,123-456-1008,,Retail,2020-01-09,86
9,Customer 9,customer9@email.com,123-456-1009,Company 9,Education,2020-01-10,33
10,Customer 10,customer10@email.com,123-456-1010,,Technology,2020-01-11,37
11,Customer 11,customer11@email.com,123-456-1011,,Finance,2020-01-12,54
12,Customer 12,customer12@email.com,123-456-1012,Company 2,Healthcare,2020-01-13,20
13,Customer 13,customer13@email.com,123-456-1013,,Retail,2020-01-14,77
14,Customer 14,customer14@email.com,123-456-1014,,Education,2020-01-15,34
15,Customer 15,customer15@email.com,123-456-1015,Company 5,Technology,2020-01-16,55
16,Customer 16,customer16@email.com,123-456-1016,,Finance,2020-01-17,4
17,Customer 17,customer17@email.com,123-456-1017,,Healthcare,2020-01-18,15
18,Customer 18,customer18@email.com,123-456-1018,Company 8,Retail,2020-01-19,57
19,Customer 19,customer19@email.com,123-456-1019,,Education,2020-01-20,94
20,Customer 20,customer20@email.com,123-456-1020,,Technology,2020-01-21,96
21,Customer 21,customer21@email.com,123-456-1021,Company 1,Finance,2020-01-22,63
22,Customer 22,customer22@email.com,123-456-1022,,Healthcare,2020-01-23,76
23,Customer 23,customer23@email.com,123-456-1023,,Retail,2020-01-24,36
24,Customer 24,customer24@email.com,123-456-1024,Company 4,Education,2020-01-25,49
25,Customer 25,customer25@email.com,123-456-1025,,Technology,2020-01-26,47
26,Customer 26,customer26@email.com,123-456-1026,,Finance,2020-01-27,90
27,Customer 27,customer27@email.com,123-456-1027,Company 7,Healthcare,2020-01-28,13
28,Customer 28,customer28@email.com,123-456-1028,,Retail,2020-01-29,39
29,Customer 29,customer29@email.com,123-456-1029,,Education,2020-01-30,1
30,Customer 30,customer30@email.com,123-456-1030,Company 0,Technology,2020-01-31,31
31,Customer 31,customer31@email.com,123-456-1031,,Finance,2020-02-01,67
32,Customer 32,customer32@email.com,123-456-1032,,Healthcare,2020-02-02,58
33,Customer 33,customer33@email.com,123-456-1033,Company 3,Retail,2020-02-03,34
34,Customer 34,customer34@email.com,123-456-1034,,Education,2020-02-04,14
35,Customer 35,customer35@email.com,123-456-1035,,Technology,2020-02-05,62
36,Customer 36,customer36@email.com,123-456-1036,Company 6,Finance,2020-02-06,87
37,Customer 37,customer37@email.com,123-456-1037,,Healthcare,2020-02-07,7
38,Customer 38,customer38@email.com,123-456-1038,,Retail,2020-02-08,50
39,Customer 39,customer39@email.com,123-456-1039,Company 9,Education,2020-02-09,29
40,Customer 40,customer40@email.com,123-456-1040,,Technology,2020-02-10,63
41,Customer 41,customer41@email.com,123-456-1041,,Finance,2020-02-11,52
42,Customer 42,customer42@email.com,123-456-1042,Company 2,Healthcare,2020-02-12,39
43,Customer 43,customer43@email.com,123-456-1043,,Retail,2020-02-13,13
44,Customer 44,customer44@email.com,123-456-1044,,Education,2020-02-14,74
45,Customer 45,customer45@email.com,123-456-1045,Company 5,Technology,2020-02-15,72
46,Customer 46,customer46@email.com,123-456-1046,,Finance,2020-02-16,78
47,Customer 47,customer47@email.com,123-456-1047,,Healthcare,2020-02-17,54
48,Customer 48,customer48@email.com,123-456-1048,Company 8,Retail,2020-02-18,21
49,Customer 49,customer49@email.com,123-456-1049,,Education,2020-02-19,76
50,Duplicate Customer,customer50@email.com,123-456-1050,,Technology,2020-02-20,16
51,Customer 51,customer51@email.com,123-456-1051,Company 1,Finance,2020-02-21,53
52,Customer 52,customer52@email.com,123-456-1052,,Healthcare,2020-02-22,19
53,Customer 53,customer53@email.com,123-456-1053,,Retail,2020-02-23,70
54,Customer 54,customer54@email.com,123-456-1054,Company 4,Education,2020-02-24,8
55,Customer 55,customer55@email.com,123-456-1055,,Technology,2020-02-25,59
56,Customer 56,customer56@email.com,123-456-1056,,Finance,2020-02-26,6
57,Customer 57,customer57@email.com,123-456-1057,Company 7,Healthcare,2020-02-27,6
58,Customer 58,customer58@email.com,123-456-1058,,Retail,2020-02-28,86
59,Customer 59,customer59@email.com,123-456-1059,,Education,2020-02-29,58
60,Customer 60,customer60@email.com,123-456-1060,Company 0,Technology,2020-03-01,57
61,Customer 61,customer61@email.com,123-456-1061,,Finance,2020-03-02,83
62,Customer 62,customer62@email.com,123-456-1062,,Healthcare,2020-03-03,67
63,Customer 63,customer63@email.com,123-456-1063,Company 3,Retail,2020-03-04,38
64,Customer 64,customer64@email.com,123-456-1064,,Education,2020-03-05,1
65,Customer 65,customer65@email.com,123-456-1065,,Technology,2020-03-06,37
66,Customer 66,customer66@email.com,123-456-1066,Company 6,Finance,2020-03-07,17
67,Customer 67,customer67@email.com,123-456-1067,,Healthcare,2020-03-08,16
68,Customer 68,customer68@email.com,123-456-1068,,Retail,2020-03-09,71
69,Customer 69,customer69@email.com,123-456-1069,Company 9,Education,2020-03-10,3
70,Customer 70,customer70@email.com,123-456-1070,,Technology,2020-03-11,12
71,Customer 71,customer71@email.com,123-456-1071,,Finance,2020-03-12,14
72,Customer 72,customer72@email.com,123-456-1072,Company 2,Healthcare,2020-03-13,65
73,Customer 73,customer73@email.com,123-456-1073,,Retail,2020-03-14,2
74,Customer 74,customer74@email.com,123-456-1074,,Education,2020-03-15,33
75,Customer 75,customer75@email.com,123-456-1075,Company 5,Technology,2020-03-16,30
76,Customer 76,customer76@email.com,123-456-1076,,Finance,2020-03-17,74
77,Customer 77,customer77@email.com,123-456-1077,,Healthcare,2020-03-18,10
78,Customer 78,customer78@email.com,123-456-1078,Company 8,Retail,2020-03-19,24
79,Customer 79,customer79@email.com,123-456-1079,,Education,2020-03-20,43
80,Customer 80,customer80@email.com,123-456-1080,,Technology,2020-03-21,15
81,Customer 81,customer81@email.com,123-456-1081,Company 1,Finance,2020-03-22,77
82,Customer 82,customer82@email.com,123-456-1082,,Healthcare,2020-03-23,89
83,Customer 83,customer83@email.com,123-456-1083,,Retail,2020-03-24,61
84,Customer 84,customer84@email.com,123-456-1084,Company 4,Education,2020-03-25,50
85,Customer 85,customer85@email.com,123-456-1085,,Technology,2020-03-26,86
86,Customer 86,customer86@email.com,123-456-1086,,Finance,2020-03-27,94
87,Customer 87,customer87@email.com,123-456-1087,Company 7,Healthcare,2020-03-28,99
88,Customer 88,customer88@email.com,123-456-1088,,Retail,2020-03-29,83
89,Customer 89,customer89@email.com,123-456-1089,,Education,2020-03-30,84
90,Customer 90,customer90@email.com,123-456-1090,Company 0,Technology,2020-03-31,53
91,Customer 91,customer91@email.com,123-456-1091,,Finance,2020-04-01,26
92,Customer 92,customer92@email.com,123-456-1092,,Healthcare,2020-04-02,79
93,Customer 93,customer93@email.com,123-456-1093,Company 3,Retail,2020-04-03,99
94,Customer 94,customer94@email.com,123-456-1094,,Education,2020-04-04,90
95,Customer 95,customer95@email.com,123-456-1095,,Technology,2020-04-05,69
96,Customer 96,customer96@email.com,123-456-1096,Company 6,Finance,2020-04-06,70
97,Customer 97,customer97@email.com,123-456-1097,,Healthcare,2020-04-07,67
98,Customer 98,customer98@email.com,123-456-1098,,Retail,2020-04-08,73
99,Customer 99,customer99@email.com,123-456-1099,Company 9,Education,2020-04-09,55
100,Duplicate Customer,customer100@email.com,,,Technology,2020-04-10,33
101,Customer 101,customer101@email.com,123-456-1101,,Finance,2020-04-11,9
102,Customer 102,customer102@email.com,123-456-1102,Company 2,Healthcare,2020-04-12,95
103,Customer 103,customer103@email.com,123-456-1103,,Retail,2020-04-13,5
104,Customer 104,customer104@email.com,123-456-1104,,Education,2020-04-14,23
105,Customer 105,customer105@email.com,123-456-1105,Company 5,Technology,2020-04-15,81
106,Customer 106,customer106@email.com,123-456-1106,,Finance,2020-04-16,71
